ID,Linguaggi_di_Programmazione,Framework,Database,Tool,Cloud
1,"JavaScript,HTML,Python,CSS","Node.js,React,jQuery,Express","PostgreSQL,MySQL,SQLite","Docker,npm,Pip,Webpack",AWS
2,"TypeScript,Java,C#","Angular,Vue.js","Microsoft SQL Server,MySQL","Kubernetes,Maven,Docker",Google Cloud
3,"C++,C,Java",,"PostgreSQL,SQLite","CMake,GCC",AWS
4,"HTML,JavaScript,PHP,CSS","Node.js, Vue.js",MySQL,"Composer,npm",Vercel
5,"Python,Java,Ruby,Go",Flask,"MongoDB,MySQL,Redis","Docker,Cargo","Google Cloud, Heroku"
6,Python,"Flask, FastAPI",MySQL,"npm,Docker",
7,"Bash,PowerShell,C,Python",,MySQL,Docker,Azure
8,"Go,Rust",,"SQLite,MariaDB",Docker,AWS
9,"Ruby,JavaScript,HTML,CSS","Node.js,Next.js",MongoDB,"RubyGems,npm",Heroku
10,"Java,JavaScript","Spring, JakartaEE","OracleDB,PostgreSQL, MySQL","Maven,Gradle",AWS
11,"PHP,JavaScript,HTML,CSS",,"MariaDB,MySQL","Composer,Homebrew,Chocolatey","AWS,Azure"
12,"TypeScript,JavaScript,HTML,Python, CSS",React,"PostgreSQL,MongoDB","npm,Webpack,Yarn",
13,"C#,Java,C++",".NET,Spring","Microsoft SQL Server,MySQL","NuGet,MSBuild",Azure
14,Python,"FastAPI,Pandas,Django",PostgreSQL,,
15,"JavaScript,TypeScript,HTML, CSS","Svelte,React",MySQL,"npm,Webpack,Yarn",AWS
16,"Dart,JavaScript,TypeScript,HTML,CSS","Flutter,Angular,React",SQLite,"npm,Webpack,Yarn",Firebase
17,"Java,Kotlin",Spring,Oracle,"Maven,Gradle",Google Cloud
18,"C,Python,Java",JakartaEE,MySQL,Maven,
19,"HTML,JavaScript,TypeScript, CSS","Angular,React,Vue.js",,"Webpack,Yarn",
20,Python,"Flask,FastAPI,NumPy,Tensorflow, Pandas",MySQL,"pip,Docker",
21,"JavaScript,HTML,Python, CSS","Node.js,React,jQuery,Express","PostgreSQL,MySQL,SQLite","Docker,npm,Pip,Webpack",
22,"TypeScript,Java,C#",Spring,"Microsoft SQL Server,MySQL","Kubernetes,Docker",Azure
23,"C++,Python","NumPy,Scikit-Learn,Tensorflow,Pandas",MySQL,"CMake,GCC",AWS
24,"HTML,JavaScript,PHP,CSS",,,,
25,"Python,Java,Ruby","Flask,Spring","MySQL,Redis","Docker,Cargo,RubyGems",Heroku
26,"C,Java,C++",Spring,,"GCC,Make",AWS
27,"PowerShell,Python",,,Docker,
28,"Go,Java,Kotlin,Python","FastAPI, JakartaEE","SQLite,MariaDB","Docker,Pip",AWS
29,"Ruby,JavaScript,HTML,CSS","Node.js,React",,"RubyGems,Homebrew",
30,"Java,JavaScript",Spring,"Oracle,PostgreSQL","Maven,Gradle",Google Cloud
31,"PHP,JavaScript,HTML,CSS","Node.js,Angular,Next.js","MongoDB,MySQL",Git,
32,"TypeScript,JavaScript,HTML,CSS",React,"PostgreSQL,MongoDB","npm,Webpack,Yarn",
33,"C#,C++",.NET,"Microsoft SQL Server,MySQL","NuGet,MSBuild",Azure
34,"Go,Rust,Lua,Bash",,Redis,"Docker,Cargo",
35,"JavaScript,TypeScript,HTML,CSS",Svelte,MySQL,"npm,Webpack,Yarn",
36,"Dart,JavaScript,TypeScript",Flutter,SQLite,"npm,Webpack,Yarn",Firebase
37,"Java,Kotlin,Python,Rust","JakartaEE,Spring",MySQL,"Maven,Gradle",AWS
38,"C++,C,Python,Java",Spring,MySQL,"Maven,Gradle",
39,"HTML,JavaScript,TypeScript,CSS","React,Next.js,Express",MongoDB,"npm,Webpack,Yarn",
40,Python,FastAPI,MySQL,"pip,Docker",
41,"JavaScript,HTML,Python,CSS","Node.js,jQuery,Django","PostgreSQL,MySQL,SQLite","npm,Pip,Webpack",
42,"TypeScript,Java,C#",.NET,"Microsoft SQL Server,MySQL","Kubernetes,Docker",Azure
43,"C++,JavaScript,Java",Django,"PostgreSQL,SQLite","CMake,GCC",AWS
44,"HTML,JavaScript,PHP,CSS",,MySQL,"Composer,Homebrew",
45,"Python,Java,Ruby,Go","Flask,Spring","MongoDB,MySQL","Docker,Redis,Cargo",AWS
46,"C,Java,C++,Python",JakartaEE,,"GCC,Make",
47,"Bash,PowerShell,Python,JavaScript","NumPy,Pandas,Scikit-Learn,React",,"Docker,Ansible,Chocolatey",AWS
48,"Go,Rust,Kotlin,Python",FastAPI,"SQLite,MariaDB","Docker,npm,Pip","AWS,Azure"
49,"Ruby,JavaScript,HTML,CSS","Angular,Next.js",,"RubyGems,Homebrew","Heroku,Vercel"
50,"Java,C++,JavaScript",Spring,"Oracle,PostgreSQL","Maven,Gradle","AWS,Azure"
