ID,Linguaggi di Programmazione,Framework,Database,Tools,Cloud
1,"HTML,CSS,JavaScript","React,Angular,Vue.js","MySQL,Oracle","npm,Webpack,Visual Studio","Heroku"
2,"Python,JavaScript","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","AWS"
3,"TypeScript,JavaScript,CSS","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","Google Cloud"
4,"Bash,Python","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","Docker"
5,"Java,C++,HTML,CSS,JavaScript","Spring,JavaEE,React,Angular,Vue.js","MySQL,Oracle,Microsoft SQL Server","Maven,Gradle,Kubernetes","Azure"
6,"C#,JavaScript",".NET,React,Angular,Vue.js","Microsoft SQL Server,MySQL","Visual Studio,MSBuild,Chocolatey","Azure"
7,"C++,C,Java","Spring,JavaEE","Oracle,MySQL","GCC,CMake,Cargo","Heroku"
8,"C,C++,JavaScript","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","Cloudflare"
9,"Go,JavaScript","React,Vue.js","Redis,MariaDB","Go Modules,Docker,Chocolatey","AWS"
10,"PowerShell,Python","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
11,"Rust,JavaScript","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Google Cloud"
12,"Kotlin,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","Heroku"
13,"Ruby,JavaScript","Ruby on Rails,React,Angular,Vue.js","MongoDB,MySQL","RubyGems,Bundler,Homebrew","Heroku"
14,"Lua,JavaScript","React,Angular,Vue.js","MySQL,Oracle","LuaRocks,CMake,Pacman","Google Cloud"
15,"Dart,JavaScript","Flutter,React,Angular,Vue.js","MySQL,PostgreSQL","Flutter,Visual Studio,Chocolatey","Firebase"
