Luogo
"Manchester, Inghilterra, Regno Unito"
"Amburgo, Amburgo, Germania"
"Valencia, Comunità Valenciana, Spagna"
"Siviglia, Andalusia, Spagna"
"Lione, Alvernia-Rodano-Alpi, Francia"
"Bilbao, Paesi Baschi, Spagna"
"Brighton, Inghilterra, Regno Unito"
"Monaco di Baviera, Baviera, Germania"
"Nizza, Provenza-Alpi-Costa Azzurra, Francia"
"Montpellier, Occitania, Francia"
"Francoforte, Assia, Germania"
"Manchester, Inghilterra, Regno Unito"
"Lione, Alvernia-Rodano-Alpi, Francia"
"Francoforte, Assia, Germania"
"Bilbao, Paesi Baschi, Spagna"
"Bilbao, Paesi Baschi, Spagna"
"Francoforte, Assia, Germania"
"Francoforte, Assia, Germania"
"Francoforte, Assia, Germania"
"Francoforte, Assia, Germania"
"Amburgo, Amburgo, Germania"
"Colonia, Renania Settentrionale-Vestfalia, Germania"
"Lione, Alvernia-Rodano-Alpi, Francia"
"Bilbao, Paesi Baschi, Spagna"
"Brighton, Inghilterra, Regno Unito"
"Siviglia, Andalusia, Spagna"
"Monaco, Baviera, Germania"
"Edimburgo, Scozia, Regno Unito"
"Francoforte, Assia, Germania"
"Parigi, Île-de-France, Francia"
"Barcellona, Catalogna, Spagna"
"Amburgo, Amburgo, Germania"
"Bordeaux, Nuova Aquitania, Francia"
"Valencia, Comunità Valenciana, Spagna"
"Monaco, Baviera, Germania"
"Stoccarda, Baden-Württemberg, Germania"
"Colonia, Renania Settentrionale-Vestfalia, Germania"
"Nantes, Paesi della Loira, Francia"
"Monaco, Baviera, Germania"
"Parigi, Île-de-France, Francia"
"Nantes, Paesi della Loira, Francia"
"Stoccarda, Baden-Württemberg, Germania"
"Montpellier, Occitania, Francia"
"Berlino, Berlino, Germania"
"Monaco di Baviera, Baviera, Germania"
"Francoforte, Assia, Germania"
"Parigi, Île-de-France, Francia"
"Colonia, Renania Settentrionale-Vestfalia, Germania"
"Colonia, Renania Settentrionale-Vestfalia, Germania"
"Lione, Alvernia-Rodano-Alpi, Francia"
"Brighton, Inghilterra, Regno Unito"
"Nizza, Provenza-Alpi-Costa Azzurra, Francia"
"Colonia, Renania Settentrionale-Vestfalia, Germania"
"Amburgo, Amburgo, Germania"
"Monaco, Baviera, Germania"
"Siviglia, Andalusia, Spagna"
"Monaco, Baviera, Germania"
"Valencia, Comunità Valenciana, Spagna"
"Barcellona, Catalogna, Spagna"
"Francoforte, Assia, Germania"
"Amburgo, Amburgo, Germania"
"Stoccarda, Baden-Württemberg, Germania"
"Valencia, Comunità Valenciana, Spagna"
"Monaco di Baviera, Baviera, Germania"
"Amburgo, Amburgo, Germania"
"Parigi, Île-de-France, Francia"
"Manchester, Inghilterra, Regno Unito"
"Siviglia, Andalusia, Spagna"
"Francoforte, Assia, Germania"
